SAMPLE_NAME	JC2084_S48_R1_001
GSP2_63_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	53.4025974026
GSP2_63_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	49
GSP2_63_UNIQUE_START_SITES	63
GSP2_63_UNIQUE_START_SITES_PERCENT	0.595
GSP2_64_NAME	KIT_chr4_55592233_27_-_A1_GSP2
GSP2_64_TYPE	TARGET
GSP2_64_UNIQUE_READS	108
GSP2_64_RAW_READS	2021
GSP2_64_UNIQUE_READS_PERCENT	0.439
GSP2_64_UNIQUE_RNA_READS	0
GSP2_64_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_64_UNIQUE_RNA_START_SITES	0
GSP2_64_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_64_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_64_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_64_UNIQUE_DNA_READS	108
GSP2_64_UNIQUE_DNA_READS_PERCENT	0.828
GSP2_64_UNIQUE_DNA_START_SITES	57
GSP2_64_UNIQUE_DNA_START_SITES_PERCENT	0.872
GSP2_64_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	104.287037037
GSP2_64_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	78.0
GSP2_64_UNIQUE_AMBIG_READS	0
GSP2_64_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_64_UNIQUE_AMBIG_START_SITES	0
GSP2_64_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_64_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_64_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_64_UNIQUE_START_SITES	57
GSP2_64_UNIQUE_START_SITES_PERCENT	0.538
GSP2_65_NAME	KIT_chr4_55593512_27_+_A1_GSP2
GSP2_65_TYPE	TARGET
GSP2_65_UNIQUE_READS	115
GSP2_65_RAW_READS	1978
GSP2_65_UNIQUE_READS_PERCENT	0.467
GSP2_65_UNIQUE_RNA_READS	0
GSP2_65_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_65_UNIQUE_RNA_START_SITES	0
GSP2_65_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_65_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_65_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_65_UNIQUE_DNA_READS	115
GSP2_65_UNIQUE_DNA_READS_PERCENT	0.881
GSP2_65_UNIQUE_DNA_START_SITES	55
GSP2_65_UNIQUE_DNA_START_SITES_PERCENT	0.841
GSP2_65_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	77.5304347826
GSP2_65_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	73
GSP2_65_UNIQUE_AMBIG_READS	0
GSP2_65_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_65_UNIQUE_AMBIG_START_SITES	0
GSP2_65_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_65_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_65_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_65_UNIQUE_START_SITES	55
GSP2_65_UNIQUE_START_SITES_PERCENT	0.519
GSP2_66_NAME	KIT_chr4_55593585_27_+_A1_GSP2
GSP2_66_TYPE	TARGET
GSP2_66_UNIQUE_READS	108
GSP2_66_RAW_READS	2035
GSP2_66_UNIQUE_READS_PERCENT	0.439
GSP2_66_UNIQUE_RNA_READS	4
GSP2_66_UNIQUE_RNA_READS_PERCENT	0.507
GSP2_66_UNIQUE_RNA_START_SITES	4
GSP2_66_UNIQUE_RNA_START_SITES_PERCENT	0.565
GSP2_66_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	204.0
GSP2_66_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	202.0
GSP2_66_UNIQUE_DNA_READS	21
GSP2_66_UNIQUE_DNA_READS_PERCENT	0.161
GSP2_66_UNIQUE_DNA_START_SITES	20
GSP2_66_UNIQUE_DNA_START_SITES_PERCENT	0.306
GSP2_66_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	218.666666667
GSP2_66_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	192
GSP2_66_UNIQUE_AMBIG_READS	83
GSP2_66_UNIQUE_AMBIG_READS_PERCENT	0.771
GSP2_66_UNIQUE_AMBIG_START_SITES	46
GSP2_66_UNIQUE_AMBIG_START_SITES_PERCENT	1.033
GSP2_66_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	78.8795180723
GSP2_66_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	79
GSP2_66_UNIQUE_START_SITES	70
GSP2_66_UNIQUE_START_SITES_PERCENT	0.661
GSP2_67_NAME	KIT_chr4_55593645_29_-_A1_GSP2
GSP2_67_TYPE	TARGET
GSP2_67_UNIQUE_READS	211
GSP2_67_RAW_READS	7965
GSP2_67_UNIQUE_READS_PERCENT	0.858
GSP2_67_UNIQUE_RNA_READS	15
GSP2_67_UNIQUE_RNA_READS_PERCENT	1.901
GSP2_67_UNIQUE_RNA_START_SITES	15
GSP2_67_UNIQUE_RNA_START_SITES_PERCENT	2.119
GSP2_67_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	121.4
GSP2_67_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	108
GSP2_67_UNIQUE_DNA_READS	92
GSP2_67_UNIQUE_DNA_READS_PERCENT	0.705
GSP2_67_UNIQUE_DNA_START_SITES	62
GSP2_67_UNIQUE_DNA_START_SITES_PERCENT	0.948
GSP2_67_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	164.967391304
GSP2_67_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	152
GSP2_67_UNIQUE_AMBIG_READS	104
GSP2_67_UNIQUE_AMBIG_READS_PERCENT	0.966
GSP2_67_UNIQUE_AMBIG_START_SITES	46
GSP2_67_UNIQUE_AMBIG_START_SITES_PERCENT	1.033
GSP2_67_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	61.0
GSP2_67_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	60.5
GSP2_67_UNIQUE_START_SITES	123
GSP2_67_UNIQUE_START_SITES_PERCENT	1.161
GSP2_68_NAME	KIT_chr4_55593714_24_-_A1_GSP2
GSP2_68_TYPE	TARGET
GSP2_68_UNIQUE_READS	101
GSP2_68_RAW_READS	3671
GSP2_68_UNIQUE_READS_PERCENT	0.411
GSP2_68_UNIQUE_RNA_READS	2
GSP2_68_UNIQUE_RNA_READS_PERCENT	0.253
GSP2_68_UNIQUE_RNA_START_SITES	2
GSP2_68_UNIQUE_RNA_START_SITES_PERCENT	0.282
GSP2_68_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	251.5
GSP2_68_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	251.5
GSP2_68_UNIQUE_DNA_READS	99
GSP2_68_UNIQUE_DNA_READS_PERCENT	0.759
GSP2_68_UNIQUE_DNA_START_SITES	65
GSP2_68_UNIQUE_DNA_START_SITES_PERCENT	0.994
GSP2_68_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	102.575757576
GSP2_68_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	71
GSP2_68_UNIQUE_AMBIG_READS	0
GSP2_68_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_68_UNIQUE_AMBIG_START_SITES	0
GSP2_68_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_68_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_68_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_68_UNIQUE_START_SITES	67
GSP2_68_UNIQUE_START_SITES_PERCENT	0.632
GSP2_69_NAME	KIT_chr4_55594165_25_+_A1_GSP2
GSP2_69_TYPE	TARGET
GSP2_69_UNIQUE_READS	119
GSP2_69_RAW_READS	3903
GSP2_69_UNIQUE_READS_PERCENT	0.484
GSP2_69_UNIQUE_RNA_READS	2
GSP2_69_UNIQUE_RNA_READS_PERCENT	0.253
GSP2_69_UNIQUE_RNA_START_SITES	2
GSP2_69_UNIQUE_RNA_START_SITES_PERCENT	0.282
GSP2_69_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	136.0
GSP2_69_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	136.0
GSP2_69_UNIQUE_DNA_READS	117
GSP2_69_UNIQUE_DNA_READS_PERCENT	0.897
GSP2_69_UNIQUE_DNA_START_SITES	55
GSP2_69_UNIQUE_DNA_START_SITES_PERCENT	0.841
GSP2_69_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	80.0085470085
GSP2_69_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	70
GSP2_69_UNIQUE_AMBIG_READS	0
GSP2_69_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_69_UNIQUE_AMBIG_START_SITES	0
GSP2_69_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_69_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_69_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_69_UNIQUE_START_SITES	56
GSP2_69_UNIQUE_START_SITES_PERCENT	0.528
GSP2_70_NAME	KIT_chr4_55594207_29_+_A1_GSP2
GSP2_70_TYPE	TARGET
GSP2_70_UNIQUE_READS	120
GSP2_70_RAW_READS	1883
GSP2_70_UNIQUE_READS_PERCENT	0.488
GSP2_70_UNIQUE_RNA_READS	5
GSP2_70_UNIQUE_RNA_READS_PERCENT	0.634
GSP2_70_UNIQUE_RNA_START_SITES	5
GSP2_70_UNIQUE_RNA_START_SITES_PERCENT	0.706
GSP2_70_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	120.6
GSP2_70_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	104
GSP2_70_UNIQUE_DNA_READS	50
GSP2_70_UNIQUE_DNA_READS_PERCENT	0.383
GSP2_70_UNIQUE_DNA_START_SITES	33
GSP2_70_UNIQUE_DNA_START_SITES_PERCENT	0.505
GSP2_70_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	145.5
GSP2_70_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	116.5
GSP2_70_UNIQUE_AMBIG_READS	65
GSP2_70_UNIQUE_AMBIG_READS_PERCENT	0.604
GSP2_70_UNIQUE_AMBIG_START_SITES	26
GSP2_70_UNIQUE_AMBIG_START_SITES_PERCENT	0.584
GSP2_70_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	57.9538461538
GSP2_70_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	60
GSP2_70_UNIQUE_START_SITES	64
GSP2_70_UNIQUE_START_SITES_PERCENT	0.604
GSP2_71_NAME	KIT_chr4_55594254_24_-_A1_GSP2
GSP2_71_TYPE	TARGET
GSP2_71_UNIQUE_READS	101
GSP2_71_RAW_READS	2755
GSP2_71_UNIQUE_READS_PERCENT	0.411
GSP2_71_UNIQUE_RNA_READS	0
GSP2_71_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_71_UNIQUE_RNA_START_SITES	0
GSP2_71_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_71_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_71_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_71_UNIQUE_DNA_READS	18
GSP2_71_UNIQUE_DNA_READS_PERCENT	0.138
GSP2_71_UNIQUE_DNA_START_SITES	15
GSP2_71_UNIQUE_DNA_START_SITES_PERCENT	0.229
GSP2_71_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	145.222222222
GSP2_71_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	134
GSP2_71_UNIQUE_AMBIG_READS	83
GSP2_71_UNIQUE_AMBIG_READS_PERCENT	0.771
GSP2_71_UNIQUE_AMBIG_START_SITES	35
GSP2_71_UNIQUE_AMBIG_START_SITES_PERCENT	0.786
GSP2_71_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	65.4337349398
GSP2_71_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	61
GSP2_71_UNIQUE_START_SITES	50
GSP2_71_UNIQUE_START_SITES_PERCENT	0.472
GSP2_72_NAME	KIT_chr4_55594294_24_-_A1_GSP2
GSP2_72_TYPE	TARGET
GSP2_72_UNIQUE_READS	206
GSP2_72_RAW_READS	2448
GSP2_72_UNIQUE_READS_PERCENT	0.837
GSP2_72_UNIQUE_RNA_READS	72
GSP2_72_UNIQUE_RNA_READS_PERCENT	9.125
GSP2_72_UNIQUE_RNA_START_SITES	66
GSP2_72_UNIQUE_RNA_START_SITES_PERCENT	9.322
GSP2_72_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	99.8333333333
GSP2_72_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	87.5
GSP2_72_UNIQUE_DNA_READS	134
GSP2_72_UNIQUE_DNA_READS_PERCENT	1.027
GSP2_72_UNIQUE_DNA_START_SITES	67
GSP2_72_UNIQUE_DNA_START_SITES_PERCENT	1.024
GSP2_72_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	74.5820895522
GSP2_72_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	67.5
GSP2_72_UNIQUE_AMBIG_READS	0
GSP2_72_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_72_UNIQUE_AMBIG_START_SITES	0
GSP2_72_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_72_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_72_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_72_UNIQUE_START_SITES	133
GSP2_72_UNIQUE_START_SITES_PERCENT	1.255
GSP2_73_NAME	KIT_chr4_55599269_24_+_A1_GSP2
GSP2_73_TYPE	TARGET
GSP2_73_UNIQUE_READS	117
GSP2_73_RAW_READS	2665
GSP2_73_UNIQUE_READS_PERCENT	0.476
GSP2_73_UNIQUE_RNA_READS	0
GSP2_73_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_73_UNIQUE_RNA_START_SITES	0
GSP2_73_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_73_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_73_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_73_UNIQUE_DNA_READS	52
GSP2_73_UNIQUE_DNA_READS_PERCENT	0.399
GSP2_73_UNIQUE_DNA_START_SITES	28
GSP2_73_UNIQUE_DNA_START_SITES_PERCENT	0.428
GSP2_73_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	139.673076923
GSP2_73_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	109
GSP2_73_UNIQUE_AMBIG_READS	65
GSP2_73_UNIQUE_AMBIG_READS_PERCENT	0.604
GSP2_73_UNIQUE_AMBIG_START_SITES	35
GSP2_73_UNIQUE_AMBIG_START_SITES_PERCENT	0.786
GSP2_73_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	62.5692307692
GSP2_73_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	65
GSP2_73_UNIQUE_START_SITES	63
GSP2_73_UNIQUE_START_SITES_PERCENT	0.595
GSP2_74_NAME	KIT_chr4_55599355_24_-_A1_GSP2
GSP2_74_TYPE	TARGET
GSP2_74_UNIQUE_READS	133
GSP2_74_RAW_READS	3617
GSP2_74_UNIQUE_READS_PERCENT	0.541
GSP2_74_UNIQUE_RNA_READS	0
GSP2_74_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_74_UNIQUE_RNA_START_SITES	0
GSP2_74_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_74_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_74_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_74_UNIQUE_DNA_READS	133
GSP2_74_UNIQUE_DNA_READS_PERCENT	1.019
GSP2_74_UNIQUE_DNA_START_SITES	73
GSP2_74_UNIQUE_DNA_START_SITES_PERCENT	1.116
GSP2_74_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	98.1353383459
GSP2_74_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	78
GSP2_74_UNIQUE_AMBIG_READS	0
GSP2_74_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_74_UNIQUE_AMBIG_START_SITES	0
GSP2_74_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_74_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_74_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_74_UNIQUE_START_SITES	73
GSP2_74_UNIQUE_START_SITES_PERCENT	0.689
GSP2_75_NAME	KIT_chr4_55602624_32_+_A1_GSP2
GSP2_75_TYPE	TARGET
GSP2_75_UNIQUE_READS	89
GSP2_75_RAW_READS	1622
GSP2_75_UNIQUE_READS_PERCENT	0.362
GSP2_75_UNIQUE_RNA_READS	0
GSP2_75_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_75_UNIQUE_RNA_START_SITES	0
GSP2_75_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_75_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_75_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_75_UNIQUE_DNA_READS	89
GSP2_75_UNIQUE_DNA_READS_PERCENT	0.682
GSP2_75_UNIQUE_DNA_START_SITES	60
GSP2_75_UNIQUE_DNA_START_SITES_PERCENT	0.917
GSP2_75_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	96.6516853933
GSP2_75_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	78
GSP2_75_UNIQUE_AMBIG_READS	0
GSP2_75_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_75_UNIQUE_AMBIG_START_SITES	0
GSP2_75_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_75_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_75_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_75_UNIQUE_START_SITES	60
GSP2_75_UNIQUE_START_SITES_PERCENT	0.566
GSP2_76_NAME	KIT_chr4_55602715_24_-_A1_GSP2
GSP2_76_TYPE	TARGET
GSP2_76_UNIQUE_READS	119
GSP2_76_RAW_READS	2129
GSP2_76_UNIQUE_READS_PERCENT	0.484
GSP2_76_UNIQUE_RNA_READS	3
GSP2_76_UNIQUE_RNA_READS_PERCENT	0.380
GSP2_76_UNIQUE_RNA_START_SITES	3
GSP2_76_UNIQUE_RNA_START_SITES_PERCENT	0.424
GSP2_76_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	92.3333333333
GSP2_76_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	94
GSP2_76_UNIQUE_DNA_READS	49
GSP2_76_UNIQUE_DNA_READS_PERCENT	0.376
GSP2_76_UNIQUE_DNA_START_SITES	34
GSP2_76_UNIQUE_DNA_START_SITES_PERCENT	0.520
GSP2_76_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	135.469387755
GSP2_76_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	104
GSP2_76_UNIQUE_AMBIG_READS	67
GSP2_76_UNIQUE_AMBIG_READS_PERCENT	0.622
GSP2_76_UNIQUE_AMBIG_START_SITES	28
GSP2_76_UNIQUE_AMBIG_START_SITES_PERCENT	0.629
GSP2_76_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	56.6417910448
GSP2_76_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	54
GSP2_76_UNIQUE_START_SITES	65
GSP2_76_UNIQUE_START_SITES_PERCENT	0.613
GSP2_77_NAME	KIT_chr4_55602725_23_+_A1_GSP2
GSP2_77_TYPE	TARGET
GSP2_77_UNIQUE_READS	149
GSP2_77_RAW_READS	5345
GSP2_77_UNIQUE_READS_PERCENT	0.606
GSP2_77_UNIQUE_RNA_READS	7
GSP2_77_UNIQUE_RNA_READS_PERCENT	0.887
GSP2_77_UNIQUE_RNA_START_SITES	7
GSP2_77_UNIQUE_RNA_START_SITES_PERCENT	0.989
GSP2_77_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	209.285714286
GSP2_77_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	202
GSP2_77_UNIQUE_DNA_READS	95
GSP2_77_UNIQUE_DNA_READS_PERCENT	0.728
GSP2_77_UNIQUE_DNA_START_SITES	49
GSP2_77_UNIQUE_DNA_START_SITES_PERCENT	0.749
GSP2_77_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	103.115789474
GSP2_77_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	89
GSP2_77_UNIQUE_AMBIG_READS	47
GSP2_77_UNIQUE_AMBIG_READS_PERCENT	0.437
GSP2_77_UNIQUE_AMBIG_START_SITES	14
GSP2_77_UNIQUE_AMBIG_START_SITES_PERCENT	0.314
GSP2_77_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	47.4893617021
GSP2_77_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	49
GSP2_77_UNIQUE_START_SITES	70
GSP2_77_UNIQUE_START_SITES_PERCENT	0.661
GSP2_78_NAME	KIT_chr4_55602785_29_-_A1_GSP2
GSP2_78_TYPE	TARGET
GSP2_78_UNIQUE_READS	126
GSP2_78_RAW_READS	1875
GSP2_78_UNIQUE_READS_PERCENT	0.512
GSP2_78_UNIQUE_RNA_READS	1
GSP2_78_UNIQUE_RNA_READS_PERCENT	0.127
GSP2_78_UNIQUE_RNA_START_SITES	1
GSP2_78_UNIQUE_RNA_START_SITES_PERCENT	0.141
GSP2_78_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	151.0
GSP2_78_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	151
GSP2_78_UNIQUE_DNA_READS	125
GSP2_78_UNIQUE_DNA_READS_PERCENT	0.958
GSP2_78_UNIQUE_DNA_START_SITES	62
GSP2_78_UNIQUE_DNA_START_SITES_PERCENT	0.948
GSP2_78_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	79.688
GSP2_78_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	68
GSP2_78_UNIQUE_AMBIG_READS	0
GSP2_78_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_78_UNIQUE_AMBIG_START_SITES	0
GSP2_78_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_78_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_78_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_78_UNIQUE_START_SITES	63
GSP2_78_UNIQUE_START_SITES_PERCENT	0.595
GSP2_79_NAME	KRAS_chr12_25378517_37_+_A1_GSP2
GSP2_79_TYPE	TARGET
GSP2_79_UNIQUE_READS	131
GSP2_79_RAW_READS	1508
GSP2_79_UNIQUE_READS_PERCENT	0.532
GSP2_79_UNIQUE_RNA_READS	1
GSP2_79_UNIQUE_RNA_READS_PERCENT	0.127
GSP2_79_UNIQUE_RNA_START_SITES	1
GSP2_79_UNIQUE_RNA_START_SITES_PERCENT	0.141
GSP2_79_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	180.0
GSP2_79_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	180
GSP2_79_UNIQUE_DNA_READS	130
GSP2_79_UNIQUE_DNA_READS_PERCENT	0.996
GSP2_79_UNIQUE_DNA_START_SITES	58
GSP2_79_UNIQUE_DNA_START_SITES_PERCENT	0.887
GSP2_79_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	92.3846153846
GSP2_79_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	86.5
GSP2_79_UNIQUE_AMBIG_READS	0
GSP2_79_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_79_UNIQUE_AMBIG_START_SITES	0
GSP2_79_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_79_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_79_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_79_UNIQUE_START_SITES	59
GSP2_79_UNIQUE_START_SITES_PERCENT	0.557
GSP2_80_NAME	KRAS_chr12_25378592_25_-_A1_GSP2
GSP2_80_TYPE	TARGET
GSP2_80_UNIQUE_READS	114
GSP2_80_RAW_READS	4096
GSP2_80_UNIQUE_READS_PERCENT	0.463
GSP2_80_UNIQUE_RNA_READS	0
GSP2_80_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_80_UNIQUE_RNA_START_SITES	0
GSP2_80_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_80_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_80_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_80_UNIQUE_DNA_READS	45
GSP2_80_UNIQUE_DNA_READS_PERCENT	0.345
GSP2_80_UNIQUE_DNA_START_SITES	35
GSP2_80_UNIQUE_DNA_START_SITES_PERCENT	0.535
GSP2_80_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	123.6
GSP2_80_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	105
GSP2_80_UNIQUE_AMBIG_READS	69
GSP2_80_UNIQUE_AMBIG_READS_PERCENT	0.641
GSP2_80_UNIQUE_AMBIG_START_SITES	23
GSP2_80_UNIQUE_AMBIG_START_SITES_PERCENT	0.516
GSP2_80_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	56.9710144928
GSP2_80_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	57
GSP2_80_UNIQUE_START_SITES	58
GSP2_80_UNIQUE_START_SITES_PERCENT	0.547
GSP2_81_NAME	KRAS_chr12_25380237_25_+_A1_GSP2
GSP2_81_TYPE	TARGET
GSP2_81_UNIQUE_READS	267
GSP2_81_RAW_READS	6705
GSP2_81_UNIQUE_READS_PERCENT	1.085
GSP2_81_UNIQUE_RNA_READS	24
GSP2_81_UNIQUE_RNA_READS_PERCENT	3.042
GSP2_81_UNIQUE_RNA_START_SITES	21
GSP2_81_UNIQUE_RNA_START_SITES_PERCENT	2.966
GSP2_81_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	179.0
GSP2_81_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	159.5
GSP2_81_UNIQUE_DNA_READS	22
GSP2_81_UNIQUE_DNA_READS_PERCENT	0.169
GSP2_81_UNIQUE_DNA_START_SITES	17
GSP2_81_UNIQUE_DNA_START_SITES_PERCENT	0.260
GSP2_81_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	180.136363636
GSP2_81_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	168.0
GSP2_81_UNIQUE_AMBIG_READS	221
GSP2_81_UNIQUE_AMBIG_READS_PERCENT	2.053
GSP2_81_UNIQUE_AMBIG_START_SITES	62
GSP2_81_UNIQUE_AMBIG_START_SITES_PERCENT	1.392
GSP2_81_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	73.6787330317
GSP2_81_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	76
